ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
55,Basel,Swiss Indoors,20/10/2025,ATP500,Indoor,Hard,1st Round,3,Brooksby J.,Muller A.,55,44,967,1153,6,4,6,3,,,,,,,2,0,Completed,1.36,3.2,1.41,3.14,1.4,3.2,1.39,2.97,1.44,3.2
55,Basel,Swiss Indoors,20/10/2025,ATP500,Indoor,Hard,1st Round,3,Davidovich Fokina A.,Sonego L.,18,45,2285,1130,7,6,6,4,,,,,,,2,0,Completed,1.53,2.5,1.61,2.46,1.6,2.5,1.56,2.37,1.64,2.5
55,Basel,Swiss Indoors,20/10/2025,ATP500,Indoor,Hard,1st Round,3,Munar J.,Bertola R.,42,268,1208,203,6,2,6,4,,,,,,,2,0,Completed,1.36,3.2,1.44,3,1.4,3.2,1.38,3.02,1.43,3.25
55,Basel,Swiss Indoors,20/10/2025,ATP500,Indoor,Hard,1st Round,3,Mensik J.,Bernet H.,19,481,2265,89,7,6,6,7,6,3,,,,,2,1,Completed,1.14,5.5,1.16,5.87,1.17,6,1.15,5.23,1.2,5.7
55,Basel,Swiss Indoors,21/10/2025,ATP500,Indoor,Hard,1st Round,3,Opelka R.,Baez S.,62,43,895,1155,6,3,6,4,,,,,,,2,0,Completed,1.33,3.4,1.38,3.22,1.38,3.5,1.35,3.13,1.39,3.5
55,Basel,Swiss Indoors,21/10/2025,ATP500,Indoor,Hard,1st Round,3,Cilic M.,Goffin D.,89,104,709,609,7,6,7,5,,,,,,,2,0,Completed,1.44,2.75,,,1.47,2.8,1.45,2.71,1.49,2.98
55,Basel,Swiss Indoors,21/10/2025,ATP500,Indoor,Hard,1st Round,3,Royer V.,Collignon R.,69,73,869,813,6,4,7,6,,,,,,,2,0,Completed,1.91,1.91,,,2.06,2,1.94,1.83,2.08,1.87
55,Basel,Swiss Indoors,21/10/2025,ATP500,Indoor,Hard,1st Round,3,Fonseca J.,Mpetshi G.,46,33,1129,1455,7,6,6,3,,,,,,,2,0,Completed,2.1,1.73,2.06,1.84,2.11,1.79,2.05,1.75,2.16,1.85
55,Basel,Swiss Indoors,21/10/2025,ATP500,Indoor,Hard,1st Round,3,Shapovalov D.,Giron M.,23,57,1928,925,6,7,6,0,7,6,,,,,2,1,Completed,1.67,2.2,1.81,2.09,1.73,2.2,1.69,2.12,1.82,2.18
55,Basel,Swiss Indoors,21/10/2025,ATP500,Indoor,Hard,1st Round,3,Shelton B.,Majchrzak K.,6,70,4100,836,6,7,6,3,7,6,,,,,2,1,Completed,1.5,2.63,1.55,2.61,1.52,2.63,1.49,2.58,1.56,2.74
55,Basel,Swiss Indoors,21/10/2025,ATP500,Indoor,Hard,1st Round,3,Wawrinka S.,Kecmanovic M.,158,52,372,1041,6,1,7,6,,,,,,,2,0,Completed,2.5,1.53,2.57,1.56,2.63,1.55,2.52,1.52,2.84,1.53
55,Basel,Swiss Indoors,22/10/2025,ATP500,Indoor,Hard,1st Round,3,Van De Zandschulp B.,Lehecka J.,82,17,752,2415,6,2,6,2,,,,,,,2,0,Completed,3.5,1.3,3.55,1.34,3.5,1.32,3.46,1.3,3.7,1.35
55,Basel,Swiss Indoors,22/10/2025,ATP500,Indoor,Hard,1st Round,3,Humbert U.,Korda S.,24,56,1880,960,6,3,6,4,,,,,,,2,0,Completed,2.1,1.73,2.19,1.75,2.15,1.75,2.12,1.71,2.2,1.82
55,Basel,Swiss Indoors,22/10/2025,ATP500,Indoor,Hard,1st Round,3,Ruud C.,Halys Q.,11,78,3145,774,6,1,7,6,,,,,,,2,0,Completed,1.2,4.5,1.24,4.54,1.25,4.5,1.21,4.25,1.22,5.5
55,Basel,Swiss Indoors,22/10/2025,ATP500,Indoor,Hard,1st Round,3,Auger-Aliassime F.,Diallo G.,12,41,3145,1228,6,2,7,5,,,,,,,2,0,Completed,1.36,3.2,1.4,3.17,1.41,3.2,1.38,2.96,1.42,3.3
55,Basel,Swiss Indoors,22/10/2025,ATP500,Indoor,Hard,1st Round,3,Fritz T.,Vacherot V.,4,39,4645,1283,4,6,7,6,7,5,,,,,2,1,Completed,1.22,4.33,1.24,4.44,1.25,4.33,1.23,4.1,1.27,4.6
55,Basel,Swiss Indoors,22/10/2025,ATP500,Indoor,Hard,2nd Round,3,Davidovich Fokina A.,Brooksby J.,18,55,2285,967,6,7,6,4,7,5,,,,,2,1,Completed,1.67,2.2,1.76,2.19,1.73,2.23,1.69,2.15,1.81,2.2
55,Basel,Swiss Indoors,22/10/2025,ATP500,Indoor,Hard,2nd Round,3,Fonseca J.,Mensik J.,46,19,1129,2265,,,,,,,,,,,,,Walkover,1.67,2.2,1.7,2.28,1.67,2.28,1.66,2.21,1.7,2.4
55,Basel,Swiss Indoors,23/10/2025,ATP500,Indoor,Hard,2nd Round,3,Auger-Aliassime F.,Cilic M.,12,89,3145,709,7,6,7,6,,,,,,,2,0,Completed,1.3,3.5,,,1.33,3.6,1.32,3.38,1.35,3.8
55,Basel,Swiss Indoors,23/10/2025,ATP500,Indoor,Hard,2nd Round,3,Shapovalov D.,Royer V.,23,69,1928,869,7,6,6,2,,,,,,,2,0,Completed,1.57,2.38,,,1.73,2.5,1.6,2.3,1.64,2.54
55,Basel,Swiss Indoors,23/10/2025,ATP500,Indoor,Hard,2nd Round,3,Munar J.,Shelton B.,42,6,1208,4100,6,3,6,4,,,,,,,2,0,Completed,2.63,1.5,,,2.7,1.53,2.57,1.49,2.56,1.63
55,Basel,Swiss Indoors,23/10/2025,ATP500,Indoor,Hard,2nd Round,3,Opelka R.,Van De Zandschulp B.,62,82,895,752,7,6,6,7,6,3,,,,,2,1,Completed,2,1.8,,,2.02,1.82,2,1.8,2.1,1.87
55,Basel,Swiss Indoors,23/10/2025,ATP500,Indoor,Hard,2nd Round,3,Ruud C.,Wawrinka S.,11,158,3145,372,6,4,7,6,,,,,,,2,0,Completed,1.2,4.5,,,1.22,4.75,1.21,4.29,1.23,5.2
55,Basel,Swiss Indoors,23/10/2025,ATP500,Indoor,Hard,2nd Round,3,Humbert U.,Fritz T.,24,4,1880,4645,6,3,6,4,,,,,,,2,0,Completed,2.75,1.44,,,2.85,1.5,2.7,1.46,2.94,1.5
55,Basel,Swiss Indoors,24/10/2025,ATP500,Indoor,Hard,Quarterfinals,3,Munar J.,Auger-Aliassime F.,42,12,1208,3145,6,3,,,,,,,,,1,0,Retired,3.4,1.33,,,3.6,1.34,3.42,1.31,4,1.32
55,Basel,Swiss Indoors,24/10/2025,ATP500,Indoor,Hard,Quarterfinals,3,Fonseca J.,Shapovalov D.,46,23,1129,1928,3,6,6,3,4,1,,,,,1,1,Retired,1.8,2,,,1.8,2.08,1.79,2.01,1.86,2.12
55,Basel,Swiss Indoors,24/10/2025,ATP500,Indoor,Hard,Quarterfinals,3,Humbert U.,Opelka R.,24,62,1880,895,7,6,6,4,,,,,,,2,0,Completed,1.36,3.2,,,1.4,3.2,1.37,3.07,1.42,3.3
55,Basel,Swiss Indoors,24/10/2025,ATP500,Indoor,Hard,Quarterfinals,3,Davidovich Fokina A.,Ruud C.,18,11,2285,3145,7,6,,,,,,,,,1,0,Retired,2.75,1.44,,,2.75,1.5,2.62,1.48,2.78,1.55
55,Basel,Swiss Indoors,25/10/2025,ATP500,Indoor,Hard,Semifinals,3,Fonseca J.,Munar J.,46,42,1129,1208,7,6,7,5,,,,,,,2,0,Completed,1.67,2.2,,,1.72,2.24,1.68,2.15,1.78,2.26
55,Basel,Swiss Indoors,25/10/2025,ATP500,Indoor,Hard,Semifinals,3,Davidovich Fokina A.,Humbert U.,18,24,2285,1880,7,6,3,1,,,,,,,1,0,Retired,2.38,1.57,,,2.4,1.73,2.3,1.6,2.38,1.72
